,ladcd,label,year,quarter,ONS LA Code
44,1,"(2012, 'Q2', 'N09000007')",2012,Q2,N09000007
45,4,"(2012, 'Q2', 'N09000008')",2012,Q2,N09000008
46,3,"(2012, 'Q2', 'N09000009')",2012,Q2,N09000009
47,8,"(2012, 'Q2', 'N09000010')",2012,Q2,N09000010
48,1,"(2012, 'Q2', 'S12000013')",2012,Q2,S12000013
49,1,"(2012, 'Q2', 'S12000019')",2012,Q2,S12000019
50,1,"(2012, 'Q2', 'S12000023')",2012,Q2,S12000023
51,2,"(2012, 'Q2', 'W06000015')",2012,Q2,W06000015
52,13,"(2012, 'Q4', 'E06000042')",2012,Q4,E06000042
53,3,"(2012, 'Q4', 'E07000004')",2012,Q4,E07000004
54,4,"(2012, 'Q4', 'E07000005')",2012,Q4,E07000005
55,1,"(2012, 'Q4', 'E07000007')",2012,Q4,E07000007
56,2,"(2012, 'Q4', 'E07000155')",2012,Q4,E07000155
57,5,"(2012, 'Q4', 'N09000003')",2012,Q4,N09000003
58,13,"(2013, 'Q1', 'N09000001')",2013,Q1,N09000001
59,9,"(2013, 'Q1', 'N09000002')",2013,Q1,N09000002
60,4,"(2013, 'Q1', 'N09000003')",2013,Q1,N09000003
61,13,"(2013, 'Q1', 'N09000004')",2013,Q1,N09000004
62,8,"(2013, 'Q1', 'N09000005')",2013,Q1,N09000005
63,8,"(2013, 'Q1', 'N09000006')",2013,Q1,N09000006
64,3,"(2013, 'Q1', 'N09000007')",2013,Q1,N09000007
65,10,"(2013, 'Q1', 'N09000008')",2013,Q1,N09000008
66,11,"(2013, 'Q1', 'N09000009')",2013,Q1,N09000009
67,5,"(2013, 'Q1', 'N09000010')",2013,Q1,N09000010
68,3,"(2013, 'Q1', 'N09000011')",2013,Q1,N09000011
69,1,"(2013, 'Q2', 'E06000012')",2013,Q2,E06000012
70,4,"(2013, 'Q2', 'E06000015')",2013,Q2,E06000015
71,9,"(2013, 'Q2', 'E06000016')",2013,Q2,E06000016
72,5,"(2013, 'Q2', 'E06000017')",2013,Q2,E06000017
73,4,"(2013, 'Q2', 'E06000018')",2013,Q2,E06000018
74,3,"(2013, 'Q2', 'E06000019')",2013,Q2,E06000019
75,2,"(2013, 'Q2', 'E06000020')",2013,Q2,E06000020
76,6,"(2013, 'Q2', 'E06000021')",2013,Q2,E06000021
77,1,"(2013, 'Q2', 'E06000051')",2013,Q2,E06000051
78,1,"(2013, 'Q2', 'E07000034')",2013,Q2,E07000034
79,1,"(2013, 'Q2', 'E07000036')",2013,Q2,E07000036
80,12,"(2013, 'Q2', 'E07000130')",2013,Q2,E07000130
81,3,"(2013, 'Q2', 'E07000136')",2013,Q2,E07000136
82,1,"(2013, 'Q2', 'E07000137')",2013,Q2,E07000137
83,5,"(2013, 'Q2', 'E07000138')",2013,Q2,E07000138
84,1,"(2013, 'Q2', 'E07000141')",2013,Q2,E07000141
85,1,"(2013, 'Q2', 'E07000142')",2013,Q2,E07000142
86,5,"(2013, 'Q2', 'E07000150')",2013,Q2,E07000150
87,1,"(2013, 'Q2', 'E07000151')",2013,Q2,E07000151
88,1,"(2013, 'Q2', 'E07000153')",2013,Q2,E07000153
89,3,"(2013, 'Q2', 'E07000154')",2013,Q2,E07000154
90,1,"(2013, 'Q2', 'E07000170')",2013,Q2,E07000170
91,2,"(2013, 'Q2', 'E07000171')",2013,Q2,E07000171
92,1,"(2013, 'Q2', 'E07000174')",2013,Q2,E07000174
93,1,"(2013, 'Q2', 'E07000175')",2013,Q2,E07000175
94,1,"(2013, 'Q2', 'E07000192')",2013,Q2,E07000192
95,2,"(2013, 'Q2', 'E07000194')",2013,Q2,E07000194
96,1,"(2013, 'Q2', 'E07000197')",2013,Q2,E07000197
97,1,"(2013, 'Q2', 'E07000219')",2013,Q2,E07000219
98,3,"(2013, 'Q2', 'E07000221')",2013,Q2,E07000221
99,2,"(2013, 'Q2', 'E07000222')",2013,Q2,E07000222
100,1,"(2013, 'Q2', 'E07000234')",2013,Q2,E07000234
101,3,"(2013, 'Q2', 'E07000237')",2013,Q2,E07000237
102,9,"(2013, 'Q2', 'E08000001')",2013,Q2,E08000001
103,2,"(2013, 'Q2', 'E08000002')",2013,Q2,E08000002
104,3,"(2013, 'Q2', 'E08000003')",2013,Q2,E08000003
105,4,"(2013, 'Q2', 'E08000004')",2013,Q2,E08000004
106,3,"(2013, 'Q2', 'E08000006')",2013,Q2,E08000006
107,7,"(2013, 'Q2', 'E08000009')",2013,Q2,E08000009
108,8,"(2013, 'Q2', 'E08000025')",2013,Q2,E08000025
109,11,"(2013, 'Q2', 'E08000026')",2013,Q2,E08000026
110,2,"(2013, 'Q2', 'E08000027')",2013,Q2,E08000027
111,1,"(2013, 'Q2', 'E08000030')",2013,Q2,E08000030
112,3,"(2013, 'Q2', 'E08000031')",2013,Q2,E08000031
113,4,"(2013, 'Q2', 'N09000001')",2013,Q2,N09000001
114,3,"(2013, 'Q2', 'N09000002')",2013,Q2,N09000002
115,3,"(2013, 'Q2', 'N09000003')",2013,Q2,N09000003
116,3,"(2013, 'Q2', 'N09000004')",2013,Q2,N09000004
117,1,"(2013, 'Q2', 'N09000005')",2013,Q2,N09000005
118,3,"(2013, 'Q2', 'N09000006')",2013,Q2,N09000006
119,2,"(2013, 'Q2', 'N09000007')",2013,Q2,N09000007
120,2,"(2013, 'Q2', 'N09000008')",2013,Q2,N09000008
121,3,"(2013, 'Q2', 'N09000009')",2013,Q2,N09000009
122,5,"(2013, 'Q2', 'N09000010')",2013,Q2,N09000010
123,8,"(2013, 'Q3', 'E06000001')",2013,Q3,E06000001
124,17,"(2013, 'Q3', 'E06000002')",2013,Q3,E06000002
125,3,"(2013, 'Q3', 'E06000003')",2013,Q3,E06000003
126,67,"(2013, 'Q3', 'E06000004')",2013,Q3,E06000004
127,16,"(2013, 'Q3', 'E06000005')",2013,Q3,E06000005
128,1,"(2013, 'Q3', 'E06000011')",2013,Q3,E06000011
129,3,"(2013, 'Q3', 'E06000015')",2013,Q3,E06000015
130,3,"(2013, 'Q3', 'E06000018')",2013,Q3,E06000018
131,7,"(2013, 'Q3', 'E06000022')",2013,Q3,E06000022
132,1,"(2013, 'Q3', 'E06000023')",2013,Q3,E06000023
133,1,"(2013, 'Q3', 'E06000025')",2013,Q3,E06000025
134,8,"(2013, 'Q3', 'E06000026')",2013,Q3,E06000026
135,1,"(2013, 'Q3', 'E06000030')",2013,Q3,E06000030
136,1,"(2013, 'Q3', 'E06000039')",2013,Q3,E06000039
137,64,"(2013, 'Q3', 'E06000042')",2013,Q3,E06000042
138,1,"(2013, 'Q3', 'E06000046')",2013,Q3,E06000046
139,59,"(2013, 'Q3', 'E06000047')",2013,Q3,E06000047
140,1,"(2013, 'Q3', 'E06000050')",2013,Q3,E06000050
141,1,"(2013, 'Q3', 'E06000051')",2013,Q3,E06000051
142,1,"(2013, 'Q3', 'E06000052')",2013,Q3,E06000052
143,2,"(2013, 'Q3', 'E06000056')",2013,Q3,E06000056
144,77,"(2013, 'Q3', 'E06000057')",2013,Q3,E06000057
145,1,"(2013, 'Q3', 'E07000004')",2013,Q3,E07000004
146,1,"(2013, 'Q3', 'E07000006')",2013,Q3,E07000006
147,1,"(2013, 'Q3', 'E07000008')",2013,Q3,E07000008
148,1,"(2013, 'Q3', 'E07000009')",2013,Q3,E07000009
149,1,"(2013, 'Q3', 'E07000010')",2013,Q3,E07000010
150,1,"(2013, 'Q3', 'E07000011')",2013,Q3,E07000011
151,1,"(2013, 'Q3', 'E07000029')",2013,Q3,E07000029
152,1,"(2013, 'Q3', 'E07000036')",2013,Q3,E07000036
153,8,"(2013, 'Q3', 'E07000041')",2013,Q3,E07000041
154,1,"(2013, 'Q3', 'E07000045')",2013,Q3,E07000045
155,3,"(2013, 'Q3', 'E07000053')",2013,Q3,E07000053
156,4,"(2013, 'Q3', 'E07000061')",2013,Q3,E07000061
157,2,"(2013, 'Q3', 'E07000062')",2013,Q3,E07000062
158,1,"(2013, 'Q3', 'E07000063')",2013,Q3,E07000063
159,2,"(2013, 'Q3', 'E07000065')",2013,Q3,E07000065
160,1,"(2013, 'Q3', 'E07000066')",2013,Q3,E07000066
161,1,"(2013, 'Q3', 'E07000070')",2013,Q3,E07000070
162,1,"(2013, 'Q3', 'E07000084')",2013,Q3,E07000084
163,1,"(2013, 'Q3', 'E07000099')",2013,Q3,E07000099
164,1,"(2013, 'Q3', 'E07000102')",2013,Q3,E07000102
165,1,"(2013, 'Q3', 'E07000164')",2013,Q3,E07000164
166,2,"(2013, 'Q3', 'E07000170')",2013,Q3,E07000170
167,1,"(2013, 'Q3', 'E07000173')",2013,Q3,E07000173
168,2,"(2013, 'Q3', 'E07000174')",2013,Q3,E07000174
169,1,"(2013, 'Q3', 'E07000177')",2013,Q3,E07000177
170,1,"(2013, 'Q3', 'E07000180')",2013,Q3,E07000180
171,1,"(2013, 'Q3', 'E07000192')",2013,Q3,E07000192
172,1,"(2013, 'Q3', 'E07000208')",2013,Q3,E07000208
173,2,"(2013, 'Q3', 'E07000209')",2013,Q3,E07000209
174,2,"(2013, 'Q3', 'E07000213')",2013,Q3,E07000213
175,1,"(2013, 'Q3', 'E07000215')",2013,Q3,E07000215
176,1,"(2013, 'Q3', 'E07000219')",2013,Q3,E07000219
177,1,"(2013, 'Q3', 'E07000222')",2013,Q3,E07000222
178,4,"(2013, 'Q3', 'E07000224')",2013,Q3,E07000224
179,2,"(2013, 'Q3', 'E07000225')",2013,Q3,E07000225
180,3,"(2013, 'Q3', 'E07000226')",2013,Q3,E07000226
181,4,"(2013, 'Q3', 'E07000227')",2013,Q3,E07000227
182,6,"(2013, 'Q3', 'E07000228')",2013,Q3,E07000228
183,4,"(2013, 'Q3', 'E07000229')",2013,Q3,E07000229
184,1,"(2013, 'Q3', 'E07000234')",2013,Q3,E07000234
185,1,"(2013, 'Q3', 'E07000236')",2013,Q3,E07000236
186,2,"(2013, 'Q3', 'E07000237')",2013,Q3,E07000237
187,1,"(2013, 'Q3', 'E07000238')",2013,Q3,E07000238
188,1,"(2013, 'Q3', 'E07000239')",2013,Q3,E07000239
189,2,"(2013, 'Q3', 'E08000001')",2013,Q3,E08000001
190,8,"(2013, 'Q3', 'E08000002')",2013,Q3,E08000002
191,27,"(2013, 'Q3', 'E08000003')",2013,Q3,E08000003
192,9,"(2013, 'Q3', 'E08000004')",2013,Q3,E08000004
193,4,"(2013, 'Q3', 'E08000005')",2013,Q3,E08000005
194,13,"(2013, 'Q3', 'E08000006')",2013,Q3,E08000006
195,8,"(2013, 'Q3', 'E08000007')",2013,Q3,E08000007
196,4,"(2013, 'Q3', 'E08000008')",2013,Q3,E08000008
197,2,"(2013, 'Q3', 'E08000009')",2013,Q3,E08000009
198,7,"(2013, 'Q3', 'E08000010')",2013,Q3,E08000010
199,1,"(2013, 'Q3', 'E08000014')",2013,Q3,E08000014
200,1,"(2013, 'Q3', 'E08000016')",2013,Q3,E08000016
201,139,"(2013, 'Q3', 'E08000021')",2013,Q3,E08000021
202,21,"(2013, 'Q3', 'E08000022')",2013,Q3,E08000022
203,21,"(2013, 'Q3', 'E08000023')",2013,Q3,E08000023
204,96,"(2013, 'Q3', 'E08000024')",2013,Q3,E08000024
205,1,"(2013, 'Q3', 'E08000027')",2013,Q3,E08000027
206,1,"(2013, 'Q3', 'E08000032')",2013,Q3,E08000032
207,1,"(2013, 'Q3', 'E08000033')",2013,Q3,E08000033
208,1,"(2013, 'Q3', 'E08000035')",2013,Q3,E08000035
209,1,"(2013, 'Q3', 'E08000036')",2013,Q3,E08000036
210,47,"(2013, 'Q3', 'E08000037')",2013,Q3,E08000037
211,1,"(2013, 'Q3', 'E09000003')",2013,Q3,E09000003
212,8,"(2013, 'Q3', 'E09000008')",2013,Q3,E09000008
213,5,"(2013, 'Q3', 'E09000011')",2013,Q3,E09000011
214,15,"(2013, 'Q3', 'E09000014')",2013,Q3,E09000014
215,2,"(2013, 'Q3', 'E09000018')",2013,Q3,E09000018
216,4,"(2013, 'Q3', 'E09000021')",2013,Q3,E09000021
217,1,"(2013, 'Q3', 'E09000029')",2013,Q3,E09000029
218,6,"(2013, 'Q3', 'E09000032')",2013,Q3,E09000032
219,2,"(2013, 'Q3', 'N09000002')",2013,Q3,N09000002
220,1,"(2013, 'Q3', 'N09000005')",2013,Q3,N09000005
221,4,"(2013, 'Q3', 'N09000010')",2013,Q3,N09000010
222,1,"(2013, 'Q3', 'N09000011')",2013,Q3,N09000011
223,3,"(2013, 'Q3', 'S12000011')",2013,Q3,S12000011
224,5,"(2013, 'Q3', 'S12000013')",2013,Q3,S12000013
225,3,"(2013, 'Q3', 'S12000018')",2013,Q3,S12000018
226,4,"(2013, 'Q3', 'S12000023')",2013,Q3,S12000023
227,1,"(2013, 'Q3', 'S12000026')",2013,Q3,S12000026
228,5,"(2013, 'Q3', 'S12000036')",2013,Q3,S12000036
229,2,"(2013, 'Q3', 'S12000039')",2013,Q3,S12000039
230,2,"(2013, 'Q3', 'S12000041')",2013,Q3,S12000041
231,1,"(2013, 'Q3', 'S12000042')",2013,Q3,S12000042
232,1,"(2013, 'Q3', 'S12000047')",2013,Q3,S12000047
233,1,"(2013, 'Q3', 'W06000003')",2013,Q3,W06000003
234,1,"(2013, 'Q3', 'W06000011')",2013,Q3,W06000011
235,1,"(2013, 'Q3', 'W06000016')",2013,Q3,W06000016
236,2,"(2013, 'Q3', 'W06000019')",2013,Q3,W06000019
237,10,"(2013, 'Q4', 'E07000150')",2013,Q4,E07000150
238,4,"(2013, 'Q4', 'E07000152')",2013,Q4,E07000152
239,1,"(2013, 'Q4', 'E07000194')",2013,Q4,E07000194
240,6,"(2014, 'Q1', 'E06000054')",2014,Q1,E06000054
241,2,"(2014, 'Q1', 'E06000057')",2014,Q1,E06000057
242,1,"(2014, 'Q1', 'E07000154')",2014,Q1,E07000154
243,1,"(2014, 'Q1', 'E07000174')",2014,Q1,E07000174
244,1,"(2014, 'Q1', 'E08000031')",2014,Q1,E08000031
245,4,"(2014, 'Q2', 'E06000016')",2014,Q2,E06000016
246,5,"(2014, 'Q2', 'E06000042')",2014,Q2,E06000042
247,1,"(2014, 'Q2', 'E06000055')",2014,Q2,E06000055
248,1,"(2014, 'Q2', 'E07000004')",2014,Q2,E07000004
249,1,"(2014, 'Q2', 'E07000009')",2014,Q2,E07000009
250,2,"(2014, 'Q2', 'E07000012')",2014,Q2,E07000012
251,1,"(2014, 'Q2', 'E07000052')",2014,Q2,E07000052
252,1,"(2014, 'Q2', 'E07000066')",2014,Q2,E07000066
253,1,"(2014, 'Q2', 'E07000067')",2014,Q2,E07000067
254,1,"(2014, 'Q2', 'E07000068')",2014,Q2,E07000068
255,1,"(2014, 'Q2', 'E07000070')",2014,Q2,E07000070
256,1,"(2014, 'Q2', 'E07000073')",2014,Q2,E07000073
257,1,"(2014, 'Q2', 'E07000078')",2014,Q2,E07000078
258,3,"(2014, 'Q2', 'E07000095')",2014,Q2,E07000095
259,1,"(2014, 'Q2', 'E07000130')",2014,Q2,E07000130
260,1,"(2014, 'Q2', 'E07000148')",2014,Q2,E07000148
261,2,"(2014, 'Q2', 'E07000155')",2014,Q2,E07000155
262,1,"(2014, 'Q2', 'E07000179')",2014,Q2,E07000179
263,1,"(2014, 'Q2', 'E07000202')",2014,Q2,E07000202
264,4,"(2014, 'Q2', 'E07000210')",2014,Q2,E07000210
265,1,"(2014, 'Q2', 'E07000218')",2014,Q2,E07000218
266,2,"(2014, 'Q2', 'E07000222')",2014,Q2,E07000222
267,2,"(2014, 'Q2', 'E07000242')",2014,Q2,E07000242
268,2,"(2014, 'Q2', 'E09000016')",2014,Q2,E09000016
269,1,"(2014, 'Q2', 'E09000026')",2014,Q2,E09000026
270,2,"(2014, 'Q2', 'E09000031')",2014,Q2,E09000031
271,1,"(2014, 'Q3', 'E06000021')",2014,Q3,E06000021
272,4,"(2014, 'Q3', 'E06000028')",2014,Q3,E06000028
273,1,"(2014, 'Q3', 'E06000034')",2014,Q3,E06000034
274,7,"(2014, 'Q3', 'E06000039')",2014,Q3,E06000039
275,1,"(2014, 'Q3', 'E06000051')",2014,Q3,E06000051
276,1,"(2014, 'Q3', 'E07000005')",2014,Q3,E07000005
277,1,"(2014, 'Q3', 'E07000067')",2014,Q3,E07000067
278,1,"(2014, 'Q3', 'E07000071')",2014,Q3,E07000071
279,1,"(2014, 'Q3', 'E07000072')",2014,Q3,E07000072
280,1,"(2014, 'Q3', 'E07000077')",2014,Q3,E07000077
281,1,"(2014, 'Q3', 'E07000103')",2014,Q3,E07000103
282,1,"(2014, 'Q3', 'E07000107')",2014,Q3,E07000107
283,1,"(2014, 'Q3', 'E07000111')",2014,Q3,E07000111
284,4,"(2014, 'Q3', 'E07000129')",2014,Q3,E07000129
285,2,"(2014, 'Q3', 'E07000150')",2014,Q3,E07000150
286,3,"(2014, 'Q3', 'E07000208')",2014,Q3,E07000208
287,1,"(2014, 'Q3', 'E07000211')",2014,Q3,E07000211
288,1,"(2014, 'Q3', 'E07000213')",2014,Q3,E07000213
289,2,"(2014, 'Q3', 'E07000222')",2014,Q3,E07000222
290,2,"(2014, 'Q3', 'E07000226')",2014,Q3,E07000226
291,6,"(2014, 'Q3', 'E09000001')",2014,Q3,E09000001
292,2,"(2014, 'Q3', 'E09000002')",2014,Q3,E09000002
293,2,"(2014, 'Q3', 'E09000003')",2014,Q3,E09000003
294,1,"(2014, 'Q3', 'E09000004')",2014,Q3,E09000004
295,5,"(2014, 'Q3', 'E09000005')",2014,Q3,E09000005
296,2,"(2014, 'Q3', 'E09000006')",2014,Q3,E09000006
297,6,"(2014, 'Q3', 'E09000007')",2014,Q3,E09000007
298,7,"(2014, 'Q3', 'E09000008')",2014,Q3,E09000008
299,1,"(2014, 'Q3', 'E09000009')",2014,Q3,E09000009
300,8,"(2014, 'Q3', 'E09000010')",2014,Q3,E09000010
301,6,"(2014, 'Q3', 'E09000011')",2014,Q3,E09000011
302,4,"(2014, 'Q3', 'E09000012')",2014,Q3,E09000012
303,3,"(2014, 'Q3', 'E09000013')",2014,Q3,E09000013
304,3,"(2014, 'Q3', 'E09000014')",2014,Q3,E09000014
305,3,"(2014, 'Q3', 'E09000015')",2014,Q3,E09000015
306,1,"(2014, 'Q3', 'E09000016')",2014,Q3,E09000016
307,13,"(2014, 'Q3', 'E09000017')",2014,Q3,E09000017
308,5,"(2014, 'Q3', 'E09000018')",2014,Q3,E09000018
309,1,"(2014, 'Q3', 'E09000019')",2014,Q3,E09000019
310,10,"(2014, 'Q3', 'E09000021')",2014,Q3,E09000021
311,1,"(2014, 'Q3', 'E09000022')",2014,Q3,E09000022
312,4,"(2014, 'Q3', 'E09000023')",2014,Q3,E09000023
313,1,"(2014, 'Q3', 'E09000024')",2014,Q3,E09000024
314,8,"(2014, 'Q3', 'E09000025')",2014,Q3,E09000025
315,5,"(2014, 'Q3', 'E09000026')",2014,Q3,E09000026
316,1,"(2014, 'Q3', 'E09000027')",2014,Q3,E09000027
317,9,"(2014, 'Q3', 'E09000028')",2014,Q3,E09000028
318,1,"(2014, 'Q3', 'E09000029')",2014,Q3,E09000029
319,2,"(2014, 'Q3', 'E09000030')",2014,Q3,E09000030
320,1,"(2014, 'Q3', 'E09000031')",2014,Q3,E09000031
321,4,"(2014, 'Q3', 'E09000032')",2014,Q3,E09000032
322,18,"(2014, 'Q3', 'E09000033')",2014,Q3,E09000033
323,1,"(2014, 'Q3', 'W06000015')",2014,Q3,W06000015
324,1,"(2014, 'Q4', 'E06000004')",2014,Q4,E06000004
325,1,"(2014, 'Q4', 'E06000026')",2014,Q4,E06000026
326,1,"(2014, 'Q4', 'E06000039')",2014,Q4,E06000039
327,3,"(2014, 'Q4', 'E06000043')",2014,Q4,E06000043
328,2,"(2014, 'Q4', 'E07000211')",2014,Q4,E07000211
329,3,"(2014, 'Q4', 'E07000228')",2014,Q4,E07000228
330,2,"(2014, 'Q4', 'E08000002')",2014,Q4,E08000002
331,8,"(2014, 'Q4', 'E08000003')",2014,Q4,E08000003
332,2,"(2014, 'Q4', 'E08000004')",2014,Q4,E08000004
333,1,"(2014, 'Q4', 'E08000005')",2014,Q4,E08000005
334,6,"(2014, 'Q4', 'E08000006')",2014,Q4,E08000006
335,1,"(2014, 'Q4', 'E08000008')",2014,Q4,E08000008
336,2,"(2014, 'Q4', 'E08000009')",2014,Q4,E08000009
337,2,"(2014, 'Q4', 'E08000015')",2014,Q4,E08000015
338,6,"(2015, 'Q1', 'E06000014')",2015,Q1,E06000014
339,7,"(2015, 'Q1', 'E06000022')",2015,Q1,E06000022
340,26,"(2015, 'Q1', 'E06000023')",2015,Q1,E06000023
341,4,"(2015, 'Q1', 'E06000024')",2015,Q1,E06000024
342,10,"(2015, 'Q1', 'E06000025')",2015,Q1,E06000025
343,1,"(2015, 'Q1', 'E06000026')",2015,Q1,E06000026
344,1,"(2015, 'Q1', 'E06000038')",2015,Q1,E06000038
345,31,"(2015, 'Q1', 'E06000042')",2015,Q1,E06000042
346,2,"(2015, 'Q1', 'E06000043')",2015,Q1,E06000043
347,1,"(2015, 'Q1', 'E06000049')",2015,Q1,E06000049
348,1,"(2015, 'Q1', 'E06000051')",2015,Q1,E06000051
349,2,"(2015, 'Q1', 'E06000052')",2015,Q1,E06000052
350,1,"(2015, 'Q1', 'E06000054')",2015,Q1,E06000054
351,2,"(2015, 'Q1', 'E07000004')",2015,Q1,E07000004
352,2,"(2015, 'Q1', 'E07000065')",2015,Q1,E07000065
353,1,"(2015, 'Q1', 'E07000079')",2015,Q1,E07000079
354,1,"(2015, 'Q1', 'E07000081')",2015,Q1,E07000081
355,1,"(2015, 'Q1', 'E07000083')",2015,Q1,E07000083
356,7,"(2015, 'Q1', 'E07000105')",2015,Q1,E07000105
357,1,"(2015, 'Q1', 'E07000106')",2015,Q1,E07000106
358,1,"(2015, 'Q1', 'E07000108')",2015,Q1,E07000108
359,6,"(2015, 'Q1', 'E07000110')",2015,Q1,E07000110
360,3,"(2015, 'Q1', 'E07000112')",2015,Q1,E07000112
361,2,"(2015, 'Q1', 'E07000113')",2015,Q1,E07000113
362,3,"(2015, 'Q1', 'E07000114')",2015,Q1,E07000114
363,2,"(2015, 'Q1', 'E07000115')",2015,Q1,E07000115
364,1,"(2015, 'Q1', 'E07000116')",2015,Q1,E07000116
365,2,"(2015, 'Q1', 'E07000118')",2015,Q1,E07000118
366,2,"(2015, 'Q1', 'E07000143')",2015,Q1,E07000143
367,1,"(2015, 'Q1', 'E07000153')",2015,Q1,E07000153
368,1,"(2015, 'Q1', 'E07000200')",2015,Q1,E07000200
369,2,"(2015, 'Q1', 'E07000210')",2015,Q1,E07000210
370,1,"(2015, 'Q1', 'E07000211')",2015,Q1,E07000211
371,2,"(2015, 'Q1', 'E07000215')",2015,Q1,E07000215
372,4,"(2015, 'Q1', 'E07000225')",2015,Q1,E07000225
373,8,"(2015, 'Q1', 'E07000226')",2015,Q1,E07000226
374,2,"(2015, 'Q1', 'E07000227')",2015,Q1,E07000227
375,2,"(2015, 'Q1', 'E07000237')",2015,Q1,E07000237
376,1,"(2015, 'Q1', 'E08000012')",2015,Q1,E08000012
377,3,"(2015, 'Q1', 'E08000014')",2015,Q1,E08000014
378,1,"(2015, 'Q1', 'E08000015')",2015,Q1,E08000015
379,1,"(2015, 'Q1', 'E08000024')",2015,Q1,E08000024
380,2,"(2015, 'Q1', 'E08000029')",2015,Q1,E08000029
381,6,"(2015, 'Q1', 'N09000001')",2015,Q1,N09000001
382,3,"(2015, 'Q1', 'N09000006')",2015,Q1,N09000006
383,1,"(2015, 'Q1', 'N09000011')",2015,Q1,N09000011
384,6,"(2015, 'Q1', 'S12000005')",2015,Q1,S12000005
385,12,"(2015, 'Q1', 'S12000006')",2015,Q1,S12000006
386,3,"(2015, 'Q1', 'S12000008')",2015,Q1,S12000008
387,15,"(2015, 'Q1', 'S12000010')",2015,Q1,S12000010
388,3,"(2015, 'Q1', 'S12000013')",2015,Q1,S12000013
389,20,"(2015, 'Q1', 'S12000017')",2015,Q1,S12000017
390,2,"(2015, 'Q1', 'S12000018')",2015,Q1,S12000018
391,5,"(2015, 'Q1', 'S12000019')",2015,Q1,S12000019
392,2,"(2015, 'Q1', 'S12000020')",2015,Q1,S12000020
393,5,"(2015, 'Q1', 'S12000021')",2015,Q1,S12000021
394,10,"(2015, 'Q1', 'S12000023')",2015,Q1,S12000023
395,13,"(2015, 'Q1', 'S12000026')",2015,Q1,S12000026
396,1,"(2015, 'Q1', 'S12000027')",2015,Q1,S12000027
397,8,"(2015, 'Q1', 'S12000028')",2015,Q1,S12000028
